Feature,Coefficient,Odds_Ratio
age,0.8202398527050495,2.2710444883756304
study1_rundmc,0.3139521076896272,1.3688241788251148
hypertension,0.28776692900109374,1.3334464801996422
CMB_count,0.2867824904918419,1.3321344300568116
Fazekas,0.2588898431960546,1.2954910898096843
smoking,0.21274133877158988,1.237064629200126
hypercholesterolemia,0.20119709313784548,1.2228657665244342
diabetes,0.18531920364742974,1.2036025731475077
lac_count,0.08518759876449507,1.0889213278339653
study1_scans,0.058600634700529335,1.0603516885001327
gender,-0.015265546182003605,0.984850381618054
educationyears,-0.18964748056325412,0.8272507045005968
Global,-0.5021702194991914,0.6052157823503861
